competen;codufmun;cnes;tp_leito;DS_TP_LEITO;co_leito;DS_CO_LEITO;qt_exist;qt_contr;qt_sus;qt_nsus
202506;130350;2018381;2;CLINICO;33;CLINICA GERAL;13;0;13;0
202506;130350;2018381;5;PEDIATRICO;45;PEDIATRIA CLINICA;6;0;6;0
202506;130353;2013320;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;8;0;8;0
202506;130353;2013320;1;CIRURGICO;3;CIRURGIA GERAL;3;0;3;0
202506;130353;2013320;3;COMPLEMENTAR;96;SUPORTE VENTILATORIO PULMONAR;2;0;2;0
202506;130353;2013320;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;2;0;0;2
202506;130353;2013320;6;OUTRAS ESPECIALIDADES;47;PSIQUIATRIA;1;0;1;0
202506;130353;2013320;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;1;0;0;1
202506;130353;2013320;5;PEDIATRICO;45;PEDIATRIA CLINICA;7;0;7;0
202506;130353;2013320;4;OBSTERICO;43;OBSTETRICIA CLINICA;9;0;9;0
202506;130353;2013320;2;CLINICO;33;CLINICA GERAL;12;0;12;0
202506;130356;2708930;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;3;0;3;0
202506;130356;2708930;1;CIRURGICO;3;CIRURGIA GERAL;6;0;6;0
202506;130356;2708930;5;PEDIATRICO;45;PEDIATRIA CLINICA;3;0;3;0
202506;130356;2708930;4;OBSTERICO;43;OBSTETRICIA CLINICA;3;0;3;0
202506;130356;2708930;2;CLINICO;33;CLINICA GERAL;8;0;8;0
202506;130360;2016478;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130360;2016478;2;CLINICO;33;CLINICA GERAL;8;0;8;0
202506;130360;2016478;4;OBSTERICO;43;OBSTETRICIA CLINICA;5;0;5;0
202506;130360;2016478;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130360;2016478;2;CLINICO;87;SAUDE MENTAL;1;0;0;1
202506;130370;3220966;5;PEDIATRICO;45;PEDIATRIA CLINICA;6;0;6;0
202506;130370;3220966;3;COMPLEMENTAR;94;UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO;1;0;1;0
202506;130370;3220966;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;1;0;1;0
202506;130370;3220966;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130370;3220966;2;CLINICO;33;CLINICA GERAL;26;0;26;0
202506;130370;3220966;1;CIRURGICO;6;GINECOLOGIA;2;0;2;0
202506;130370;3220966;4;OBSTERICO;43;OBSTETRICIA CLINICA;8;0;8;0
202506;130370;7013434;2;CLINICO;33;CLINICA GERAL;28;0;0;28
202506;130380;2717387;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130380;2717387;2;CLINICO;33;CLINICA GERAL;10;0;10;0
202506;130380;4004779;5;PEDIATRICO;45;PEDIATRIA CLINICA;1;0;1;0
202506;130380;4004779;2;CLINICO;33;CLINICA GERAL;1;0;1;0
202506;130380;4004787;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;1;0;1;0
202506;130380;4004787;2;CLINICO;33;CLINICA GERAL;15;0;15;0
202506;130380;4004787;1;CIRURGICO;6;GINECOLOGIA;1;0;1;0
202506;130380;4004787;5;PEDIATRICO;45;PEDIATRIA CLINICA;13;0;13;0
202506;130380;4004787;4;OBSTERICO;43;OBSTETRICIA CLINICA;16;0;16;0
202506;130380;4004787;1;CIRURGICO;3;CIRURGIA GERAL;1;0;1;0
202506;130390;2018128;1;CIRURGICO;3;CIRURGIA GERAL;8;0;8;0
202506;130390;2018128;4;OBSTERICO;43;OBSTETRICIA CLINICA;8;0;8;0
202506;130390;2018128;2;CLINICO;87;SAUDE MENTAL;1;0;0;1
202506;130390;2018128;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130390;2018128;2;CLINICO;33;CLINICA GERAL;24;0;24;0
202506;130395;2011859;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130395;2011859;2;CLINICO;33;CLINICA GERAL;8;0;8;0
202506;130395;2011859;4;OBSTERICO;43;OBSTETRICIA CLINICA;5;0;5;0
202506;130395;2011859;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130400;2016249;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;1;0;1;0
202506;130400;2016249;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;2;0;2;0
202506;130400;2016249;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;4;0
202506;130400;2016249;4;OBSTERICO;43;OBSTETRICIA CLINICA;6;0;6;0
202506;130400;2016249;1;CIRURGICO;3;CIRURGIA GERAL;8;0;8;0
202506;130400;2016249;2;CLINICO;33;CLINICA GERAL;7;0;7;0
202506;130406;2016125;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;5;0;4;1
202506;130406;2016125;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;3;1
202506;130406;2016125;2;CLINICO;33;CLINICA GERAL;12;0;8;4
202506;130406;2016125;6;OUTRAS ESPECIALIDADES;34;CRONICOS;1;0;1;0
202506;130406;2016125;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;8;0;4;4
202506;130406;2016125;1;CIRURGICO;3;CIRURGIA GERAL;8;0;4;4
202506;130406;7459750;2;CLINICO;33;CLINICA GERAL;6;0;6;0
202506;130406;7459750;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;1;0;1;0
202506;130406;7459750;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130406;7459750;5;PEDIATRICO;45;PEDIATRIA CLINICA;6;0;6;0
202506;130406;7459750;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;10;0;0;10
202506;130406;7459831;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;4;0;0;4
202506;130406;7459831;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;3;0;0;3
202506;130406;7459831;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;6;0;6;0
202506;130406;7459831;1;CIRURGICO;6;GINECOLOGIA;2;0;2;0
202506;130406;7459831;4;OBSTERICO;43;OBSTETRICIA CLINICA;6;0;6;0
202506;130406;7459831;5;PEDIATRICO;45;PEDIATRIA CLINICA;5;0;5;0
202506;130410;2012553;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130410;2012553;4;OBSTERICO;43;OBSTETRICIA CLINICA;6;0;6;0
202506;130410;2012553;2;CLINICO;33;CLINICA GERAL;18;0;18;0
202506;130410;2012553;5;PEDIATRICO;45;PEDIATRIA CLINICA;4;0;4;0
202506;130420;2016141;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;10;0;0;10
202506;130420;2016141;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;4;0;0;4
202506;130420;2016141;3;COMPLEMENTAR;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;2;0;2;0
202506;130420;2016141;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;5;0;0;5
